description_code,function_name,l1_category_name,payload_format,has_geo,is_system_event,event_type,log_level,platforms
16040000,Settings: Address Confirmation OFF,Settings & Account,none,false,false,,INFO,"PDA"
16050000,Settings: On-Screen Keyboard ON,Settings & Account,none,false,false,,INFO,"PDA"
16060000,Settings: On-Screen Keyboard OFF,Settings & Account,none,false,false,,INFO,"PDA"
16070000,Customer Order - Modification Reminder-ON,Settings & Account,none,false,false,,INFO,"PDA"
16080000,Customer Order - Modification Reminder-OFF,Settings & Account,none,false,false,,INFO,"PDA"
16090000,Legend,Settings & Account,none,false,false,,INFO,"PDA,CatalogFS,CatalogFC"
16100000,Check APP Version,Settings & Account,none,false,false,,INFO,"PDA,CatalogFS,CatalogFC"
16110000,Settings: BLE Settings,Settings & Account,none,false,false,,INFO,"PDA"
16120100,Setting: Face ID ON,Settings & Account,none,false,false,,,"CatalogFS"
16120200,Setting: Face ID OFF,Settings & Account,none,false,false,,,"CatalogFS"
16130000,Setting: Manage Categories,Settings & Account,none,false,false,,,"CatalogFS"
16140100,Setting: Show Price ON,Settings & Account,none,false,false,,,"CatalogFS"
16140200,Setting: Show Price OFF,Settings & Account,none,false,false,,,"CatalogFS"
16150100,Setting: Only Show In Stock ON,Settings & Account,none,false,false,,,"CatalogFS"
16150200,Setting: Only show in Stock OFF,Settings & Account,none,false,false,,,""
17010000,Enable BLE,BLE,none,false,false,,INFO,"PDA"
17010100,BLE: Home ON,BLE,none,false,false,,INFO,"PDA"
17010200,BLE: Home OFF,BLE,none,false,false,,INFO,"PDA"
17010300,BLE: Menu ON,BLE,none,false,false,,INFO,"PDA"
17010400,BLE: Menu OFF,BLE,none,false,false,,INFO,"PDA"
17010500,BLE: Setting ON,BLE,none,false,false,,INFO,"PDA"
17010600,BLE: Setting OFF,BLE,none,false,false,,INFO,"PDA"
17010700,BLE MODE Timeout,BLE,none,false,false,,INFO,"PDA"
17020000,Pair/Unpair,BLE,none,false,false,,INFO,"PDA"
17020101,BLE: Pair - Success,BLE,none,false,false,,INFO,"PDA"
17020102,BLE: Pair - Fail,BLE,none,false,false,,INFO,"PDA"
17020200,BLE: Unpair,BLE,none,false,false,,INFO,"PDA"
17020301,BLE: Auto Connection - Success,BLE,none,false,false,,INFO,"PDA"
17020302,BLE: Auto Connection - Fail,BLE,none,false,false,,INFO,"PDA"
17030000,BLE: Forget Device,BLE,none,false,false,,INFO,"PDA"
17040000,Scan,BLE,none,false,false,,INFO,"PDA"
17040101,BLE Scan: Home - Found,BLE,none,false,false,,INFO,"PDA"
17040102,BLE Scan: Home - Not Found,BLE,none,false,false,,WARN,"PDA"
17040201,BLE Scan: Setting - Found,BLE,none,false,false,,INFO,"PDA"
17040202,BLE Scan: Setting - Not Found,BLE,none,false,false,,WARN,"PDA"
17040301,BLE Scan: BLE Link ON - Found,BLE,none,false,false,,INFO,"PDA"
17040302,BLE Scan: BLE Link ON - Not Found,BLE,none,false,false,,WARN,"PDA"
17040401,BLE Scan: Menu - Found,BLE,none,false,false,,INFO,"PDA"
17040402,BLE Scan: Menu - Not Found,BLE,none,false,false,,WARN,"PDA"
17040501,BLE Auto Scan - Found,BLE,none,false,false,,INFO,"PDA"
17040502,BLE Auto Scan - Not Found,BLE,none,false,false,,WARN,"PDA"
17050000,BLE event operation,BLE,none,false,false,,INFO,"PDA"
17050100,(BLE Only) Lock Catalog Screen,BLE,none,false,false,,INFO,"PDA"
17050101,BLE Op: Lock/Unlock Catalog,BLE,bare_value,false,false,,INFO,"PDA"
17050200,(BLE Only) Jump to Back,BLE,none,false,false,,INFO,"PDA"
17050201,BLE Op: Jump to Back,BLE,none,false,false,,INFO,"PDA"
17050300,(BLE Only) Jump to Categories,BLE,none,false,false,,INFO,"PDA"
17050301,BLE Op: Jump to Categories,BLE,positional,false,false,,INFO,"PDA"
17050400,(BLE Only) Jump to Backorder,BLE,none,false,false,,INFO,"PDA"
17050401,BLE Op: Jump to Backorder,BLE,none,false,false,,INFO,"PDA"
17050500,(BLE Only) Jump to Purchase History,BLE,none,false,false,,INFO,"PDA"
17050501,BLE Op: Jump to Purchase History,BLE,none,false,false,,INFO,"PDA"
17050600,(BLE Only) Jump to Recommend,BLE,none,false,false,,INFO,"PDA"
17050601,BLE Op: Jump to Recommend,BLE,none,false,false,,INFO,"PDA"
17050700,(BLE Only) Jump to Cart,BLE,none,false,false,,INFO,"PDA"
17050701,BLE Op: Jump to Cart,BLE,none,false,false,,INFO,"PDA"
17050800,(BLE Only) Jump to Item Family,BLE,none,false,false,,INFO,"PDA"
17050801,BLE Op: Jump to Item Family,BLE,sku,false,false,,INFO,"PDA"
17050900,(BLE Only) Catalog Left slide,BLE,none,false,false,,INFO,"PDA"
17050901,BLE Op: Catalog Left Slide,BLE,none,false,false,,INFO,"PDA"
17051000,(BLE Only) Catalog Right slide,BLE,none,false,false,,INFO,"PDA"
17051001,BLE Op: Catalog Right Slide,BLE,none,false,false,,INFO,"PDA"
17051100,(BLE Only) Jump Search Results,BLE,bare_value,false,false,,INFO,"PDA"
17051101,BLE Op: Jump to Search Results,BLE,bare_value,false,false,,INFO,"PDA"
17051300,(BLE Only) Item Highlight,BLE,none,false,false,,INFO,"PDA"
17051301,BLE Op: Item Highlight - Line Item,BLE,sku,false,false,,INFO,"PDA"
17051302,BLE Op: Item Highlight - New & Promo,BLE,sku,false,false,,INFO,"PDA"
17051303,BLE Op: Item Highlight - Recommend,BLE,sku,false,false,,INFO,"PDA"
17051304,Purchase History,BLE,sku,false,false,,INFO,"PDA"
17051305,Review,BLE,sku,false,false,,INFO,"PDA"
17051306,Product Detail,BLE,sku,false,false,,INFO,"PDA"
17051307,All Items,BLE,sku,false,false,,INFO,"PDA"
17051308,Order Detail:Product Name,BLE,sku,false,false,,INFO,"PDA"
17051400,(BLE Only) Jump to Detail,BLE,none,false,false,,INFO,"PDA"
17051401,BLE Op: Jump to Detail - Product Detail,BLE,sku,false,false,,INFO,"PDA"
17051402,BLE Op: Jump to Detail - Hard Keys,BLE,sku,false,false,,INFO,"PDA"
17051403,New & Promo,BLE,sku,false,false,,INFO,"PDA"
17051404,Recommend,BLE,sku,false,false,,INFO,"PDA"
17051405,Purchase History,BLE,sku,false,false,,INFO,"PDA"
17051406,Order Detail: Keyboard,BLE,sku,false,false,,INFO,"PDA"
17051407,Order Detail:Product Name,BLE,sku,false,false,,INFO,"PDA"
18010000,Scan Barcode,Activity (Customer Interactions),kv,false,false,EVENT,EVENT,"PDA,CatalogFS,Vegas,CatalogFC"
18020000,click_backorder_icon,Activity (Customer Interactions),title,false,false,EVENT,EVENT,"PDA,CatalogFS,Vegas,CatalogFC,Web"
18030000,click_history_icon,Activity (Customer Interactions),title,false,false,EVENT,EVENT,"PDA,CatalogFS,Vegas,CatalogFC,Web"
18040000,click_suggest_icon,Activity (Customer Interactions),title,false,false,EVENT,EVENT,"PDA,CatalogFS,Vegas,CatalogFC,Web"
18050000,click_new_icon,Activity (Customer Interactions),title,false,false,EVENT,EVENT,"PDA,CatalogFS,Vegas,CatalogFC,Web"
18060000,click_promo_icon,Activity (Customer Interactions),title,false,false,EVENT,EVENT,"PDA,CatalogFS,Vegas,CatalogFC,Web"
18070000,click_new&promo_icon,Activity (Customer Interactions),title,false,false,EVENT,EVENT,"PDA,Vegas,CatalogFC,Web"
18080000,click_all_product_icon,Activity (Customer Interactions),title,false,false,EVENT,EVENT,"PDA,Vegas,CatalogFC,Web"
18090000,click_categories_icon,Activity (Customer Interactions),bare_value,false,false,EVENT,EVENT,"CatalogFS,Vegas,CatalogFC,Web"
18100000,promo_to_buttom,Activity (Customer Interactions),none,false,false,EVENT,EVENT,"Vegas,Web"
18110000,new_to_buttom,Activity (Customer Interactions),none,false,false,EVENT,EVENT,"Vegas,Web"
18120000,rec_to_buttom,Activity (Customer Interactions),none,false,false,EVENT,EVENT,"Vegas"
19010000,Catalog View,Catalog View Analytics,kv,true,false,EVENT,EVENT,"CatalogFS,CatalogFC"
20000000,Vender,Vender,bare_value,false,false,,EVENT,"Web"
20010100,Vender - Login - Success,Vender,none,false,false,,EVENT,"Web"
20010200,Vender - Login- Fail,Vender,bare_value,false,false,,WARN,"Web"
20010300,Vender - Login - Success(Internal Allow login),Vender,none,false,false,,EVENT,"Web"
20010400,Vender - Log Out,Vender,none,false,false,,,""
20020100,ISF - Add,Vender,none,false,false,,EVENT,"Web"
20020200,ISF - Edit Draft,Vender,none,false,false,,EVENT,"Web"
20020301,ISF - Save Draft - Success,Vender,none,false,false,,EVENT,"Web"
20020302,ISF - Save Draft - Fail,Vender,none,false,false,,EVENT,"Web"
20020401,ISF - Submit- Success,Vender,none,false,false,,EVENT,"Web"
20020402,ISF - Submit- Fail,Vender,bare_value,false,false,,WARN,"Web"
20020500,ISF - Delete Draft,Vender,none,false,false,,EVENT,"Web"
20030100,Vender Request password reset,Vender,none,false,false,,EVENT,"Web"
20040100,Download ISF PDF,Vender,bare_value,false,false,,EVENT,"Web"
